sample;X;Y;Raster_Krig_THAW200709_Band_1;Raster_Krig_THAW200708_Band_1;Raster_Krig_THAW200707_Band_1;Raster_Krig_THAW200706_Band_1;Raster_Krig_THAW200705_Band_1;Raster_Krig_SNOW200705_Band_1
1;0,000000000000000;0,000000000000000;108,0000000;105,6113129;100,6448593;76,5176620;43,0000000;4,3304200
2;10,000000000000000;0,000000000000000;107,0000000;105,7282944;101,1839142;75,8265839;41,0000000;6,2752352
3;20,000000000000000;0,000000000000000;115,0000000;105,3846817;100,4090805;75,0218353;40,0000000;6,5331416
4;30,000000000000000;0,000000000000000;102,0000000;104,8499069;99,0156631;73,2693634;36,0000000;9,8559742
5;40,000000000000000;0,000000000000000;96,0000000;104,6083679;98,5663910;72,6335220;72,0000000;8,0301294
6;70,000000000000000;0,000000000000000;107,0000000;106,8617935;101,8917084;70,2749710;22,0000000;12,2867327
7;80,000000000000000;0,000000000000000;121,0000000;107,0966492;101,7407608;70,0431747;34,0000000;11,8503647
8;90,000000000000000;0,000000000000000;108,0000000;107,2703629;101,3913956;69,6307907;26,0000000;13,1117935
9;100,000000000000000;0,000000000000000;108,0000000;108,2311630;101,9192505;69,7155457;36,0000000;8,4532061
10;10,000000000000000;10,000000000000000;111,0000000;105,8770142;101,2791138;74,8146973;25,0000000;9,9033394
11;20,000000000000000;10,000000000000000;105,0000000;105,0137939;100,1529388;73,5094452;10,0000000;12,0698137
12;30,000000000000000;10,000000000000000;104,0000000;104,4591751;98,4909592;72,8759384;25,0000000;9,5967894
13;40,000000000000000;10,000000000000000;108,0000000;104,7045593;98,2390976;72,6858063;28,0000000;11,5156755
14;50,000000000000000;10,000000000000000;107,0000000;105,4609833;99,7293167;71,6837082;26,0000000;11,4072590
15;70,000000000000000;10,000000000000000;114,0000000;106,7903061;100,9564590;69,7029648;28,0000000;11,0813208
16;80,000000000000000;10,000000000000000;116,0000000;106,8052139;100,9716797;69,1849060;32,0000000;11,2107544
17;90,000000000000000;10,000000000000000;95,0000000;106,8288574;100,5881653;68,8751678;23,0000000;11,1562309
18;100,000000000000000;10,000000000000000;119,0000000;107,6898117;101,1555099;69,4919968;28,0000000;12,1701508
19;10,000000000000000;20,000000000000000;105,0000000;105,4079819;100,6500549;72,9957428;28,0000000;12,6720219
20;20,000000000000000;20,000000000000000;106,0000000;104,9410858;99,3411560;71,9388351;27,0000000;14,1146154
21;30,000000000000000;20,000000000000000;105,0000000;103,9359512;97,6193848;71,5644226;24,0000000;11,5350637
22;40,000000000000000;20,000000000000000;95,0000000;104,5649338;97,9205627;71,6325989;34,0000000;14,1441650
23;70,000000000000000;20,000000000000000;105,0000000;107,1072006;100,7103500;68,8721848;17,0000000;15,0800247
24;80,000000000000000;20,000000000000000;110,0000000;107,1248245;100,8997955;68,6939087;23,0000000;12,5643110
25;0,000000000000000;30,000000000000000;112,0000000;103,7968903;97,6585312;72,5757294;28,0000000;9,6424294
26;10,000000000000000;30,000000000000000;107,0000000;103,6922073;97,2069931;70,9452515;29,0000000;8,4046984
27;20,000000000000000;30,000000000000000;102,0000000;103,5960693;96,2322922;70,1742477;40,0000000;7,1009455
28;30,000000000000000;30,000000000000000;106,0000000;103,3233261;95,3642349;70,1235123;33,0000000;7,8344283
29;40,000000000000000;30,000000000000000;106,0000000;104,3294220;96,6401749;69,7173538;24,0000000;7,9890389
30;50,000000000000000;30,000000000000000;104,0000000;105,9378891;98,4616394;69,2742386;17,0000000;8,1000290
31;60,000000000000000;30,000000000000000;106,0000000;107,1653519;99,4451904;68,9728546;32,0000000;11,4428844
32;70,000000000000000;30,000000000000000;108,0000000;107,6857147;99,7003708;68,3884811;22,0000000;11,6733828
33;80,000000000000000;30,000000000000000;116,0000000;107,5508804;100,1834030;67,9597015;26,0000000;12,7867155
34;90,000000000000000;30,000000000000000;106,0000000;107,4297943;100,4355621;68,4206924;32,0000000;8,5835981
35;100,000000000000000;30,000000000000000;106,0000000;107,6455078;100,4258575;69,1453705;35,0000000;7,6435571
36;0,000000000000000;40,000000000000000;99,0000000;102,1048813;93,8730164;71,5967484;23,0000000;6,7962379
37;10,000000000000000;40,000000000000000;98,0000000;101,9692993;93,2368011;69,7687607;36,0000000;7,4308257
38;30,000000000000000;40,000000000000000;98,0000000;101,9359818;92,1940155;68,5898895;27,0000000;8,9031124
39;40,000000000000000;40,000000000000000;105,0000000;103,1475983;93,9345169;68,3684235;23,0000000;11,1773167
40;50,000000000000000;40,000000000000000;115,0000000;104,6104431;96,3432999;67,3455276;28,0000000;12,0439043
41;60,000000000000000;40,000000000000000;107,0000000;106,4451828;97,4709015;67,4519196;32,0000000;8,0993328
42;70,000000000000000;40,000000000000000;110,0000000;106,7537308;97,3267746;66,3861008;29,0000000;11,1999340
43;80,000000000000000;40,000000000000000;110,0000000;107,1703339;97,7263107;67,3943329;30,0000000;8,4104033
44;90,000000000000000;40,000000000000000;111,0000000;107,4556351;98,5840988;67,8739548;46,0000000;6,8132939
45;100,000000000000000;40,000000000000000;104,0000000;107,3742981;98,6610489;68,8111420;38,0000000;7,4268160
46;0,000000000000000;50,000000000000000;103,0000000;100,6552505;91,0303802;70,2876968;38,0000000;8,6514072
47;20,000000000000000;50,000000000000000;104,0000000;100,2378082;89,5103226;67,9072418;36,0000000;8,6753931
48;30,000000000000000;50,000000000000000;93,0000000;100,5307617;89,4391632;67,0583191;27,0000000;8,0735807
49;40,000000000000000;50,000000000000000;96,0000000;101,5689621;90,8554459;66,8701935;29,0000000;9,7702656
50;50,000000000000000;50,000000000000000;106,0000000;102,7618866;92,8686676;66,4408798;1,0000000;11,9816084
51;60,000000000000000;50,000000000000000;106,0000000;104,4759979;94,1768036;65,6022186;24,0000000;12,9895115
52;70,000000000000000;50,000000000000000;104,0000000;105,2991333;94,3624573;65,2821045;36,0000000;7,6539688
53;80,000000000000000;50,000000000000000;104,0000000;106,4129410;95,8874741;66,1428375;39,0000000;6,1287479
54;100,000000000000000;50,000000000000000;108,0000000;106,4705658;97,0346527;67,9526520;34,0000000;9,3181438
55;0,000000000000000;60,000000000000000;100,0000000;99,4230194;89,1225891;68,8435516;41,0000000;7,1323404
56;20,000000000000000;60,000000000000000;99,0000000;99,1419754;88,0878220;66,9066925;35,0000000;8,5953970
57;30,000000000000000;60,000000000000000;101,0000000;99,4538803;88,4902115;66,2410736;53,0000000;5,3771410
58;40,000000000000000;60,000000000000000;99,0000000;100,4277039;88,8825912;66,6381378;39,0000000;7,5806971
59;50,000000000000000;60,000000000000000;94,0000000;101,2309799;90,0952301;65,6773071;31,0000000;12,1516113
60;60,000000000000000;60,000000000000000;106,0000000;102,2885284;91,0142593;65,0949249;32,0000000;4,1166558
61;80,000000000000000;60,000000000000000;110,0000000;104,3732376;93,7169037;65,6731720;39,0000000;10,0667057
62;90,000000000000000;60,000000000000000;119,0000000;105,0282364;95,5910645;66,4474487;44,0000000;8,6964922
63;100,000000000000000;60,000000000000000;105,0000000;105,4011765;95,7888641;67,4811707;37,0000000;7,2792583
64;0,000000000000000;70,000000000000000;104,0000000;98,3966293;87,6793213;66,7162476;36,0000000;7,0425568
65;30,000000000000000;70,000000000000000;99,0000000;99,2017212;88,4561539;66,5121460;47,0000000;6,6159129
66;40,000000000000000;70,000000000000000;100,0000000;100,6106644;89,1713562;66,2450714;33,0000000;10,5604591
67;50,000000000000000;70,000000000000000;108,0000000;100,9670715;89,1440430;66,2252274;30,0000000;7,8343019
68;70,000000000000000;70,000000000000000;92,0000000;102,3712921;90,3343658;65,4465790;39,0000000;7,5649247
