timestamp,run_output_dir,interpolation_method,cell_size,train_rmse,test_rmse,num_train_points,num_test_points,dem_tin_max_triangle_edge_length,dem_idw_weight,dem_idw_radius,dem_idw_min_points
2025-04-21 23:03:24,mca_20250421_2302,nn,15.0,1.1774,2.5437,113417,28355,N/A,N/A,N/A,N/A
2025-04-21 23:29:50,mca_20250421_2329,nn,15.0,1.1774,2.5437,113417,28355,100.0,1.0,500.0,5
2025-04-21 23:35:38,mca_20250421_2335,tin,15.0,1.3550,2.4741,113417,28355,100.0,1.0,500.0,5
2025-04-21 23:37:16,mca_20250421_2337,tin,15.0,1.3550,2.4741,113417,28355,100.0,1.0,500.0,5
2025-04-21 23:40:06,mca_20250421_2339,tin,15.0,1.3550,2.4741,113417,28355,100.0,1.0,500.0,5
2025-04-21 23:41:52,mca_20250421_2341,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-22 09:21:43,mca_20250422_0921,idw,15.0,10.8700,13.0014,113417,28355,1000.0,1.0,500.0,5
2025-04-22 09:29:05,mca_20250422_0928,tin,15.0,1.3704,1.3618,113417,28355,50.0,1.0,500.0,5
2025-04-22 09:30:42,mca_20250422_0930,tin,15.0,1.2366,2.6380,113417,28355,150.0,1.0,500.0,5
2025-04-22 09:33:24,mca_20250422_0933,tin,15.0,1.1508,2.5751,113417,28355,350.0,1.0,500.0,5
2025-04-22 09:34:20,mca_20250422_0934,tin,15.0,1.1439,2.5732,113417,28355,500.0,1.0,500.0,5
2025-04-22 09:35:15,mca_20250422_0935,tin,15.0,1.1429,2.5686,113417,28355,750.0,1.0,500.0,5
2025-04-22 09:36:12,mca_20250422_0936,tin,15.0,1.1442,2.5680,113417,28355,900.0,1.0,500.0,5
2025-04-23 23:49:55,mca_20250423_2349,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 00:10:12,mca_20250424_0009,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 09:37:06,mca_20250424_0936,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 09:41:08,mca_20250424_0940,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 09:58:14,mca_20250424_0957,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 10:14:07,mca_20250424_1013,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 12:29:00,mca_20250424_1228,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 14:19:56,mca_20250424_1418,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 22:32:33,mca_20250424_2231,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 22:42:53,mca_20250424_2241,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-24 22:47:48,mca_20250424_2247,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-26 10:14:54,mca_20250426_1014,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-26 10:47:15,mca_20250426_1047,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-26 21:22:52,mca_20250426_2122,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
2025-04-26 23:17:51,mca_20250426_2317,tin,15.0,1.1440,2.5677,113417,28355,1000.0,1.0,500.0,5
