timestamp,run_output_dir,train_rmse,test_rmse,cell_size,weight,radius,min_points,train_points,test_points
2025-04-21 10:50:56,mca_20250421_1050,0.5701,1.5128,15,1.5,500,15,4136,1034
2025-04-21 10:54:10,mca_20250421_1053,0.5841,1.5008,15,1.5,1000,15,4136,1034
2025-04-21 10:56:02,mca_20250421_1055,0.5048,1.6118,15,2.3,1000,15,4136,1034
2025-04-21 10:57:35,mca_20250421_1057,0.5154,1.5756,15,2.0,1000,25,4136,1034
2025-04-21 10:59:01,mca_20250421_1058,0.5154,1.5781,15,2.0,1000,50,4136,1034
2025-04-21 11:01:02,mca_20250421_1100,0.5147,1.5816,15,2.0,500,50,4136,1034
2025-04-21 11:03:25,mca_20250421_1102,0.3907,1.5760,10,2.0,500,100,4136,1034
2025-04-21 11:08:13,mca_20250421_1106,0.3908,1.5756,10,2.0,500,125,4136,1034
2025-04-21 11:10:09,mca_20250421_1108,0.4123,1.5457,10,1.75,500,125,4136,1034
2025-04-21 11:12:43,mca_20250421_1111,0.5559,1.4783,10,1.25,500,125,4136,1034
2025-04-21 11:18:59,mca_20250421_1117,0.5631,1.4781,10,1.25,500,150,4136,1034
2025-04-21 11:23:21,mca_20250421_1122,0.5652,1.4789,10,1.25,750,150,4136,1034
2025-04-21 11:25:33,mca_20250421_1125,0.4133,1.5457,10,1.75,1000,150,4136,1034
2025-04-21 11:27:39,mca_20250421_1126,0.4139,1.5449,10,1.75,1000,250,4136,1034
2025-04-21 11:29:49,mca_20250421_1129,0.5889,1.4208,10,1.75,1000,250,8252,2063
2025-04-21 11:32:05,mca_20250421_1131,0.8081,1.4012,10,1.75,1000,250,20670,5168
2025-04-21 11:35:18,mca_20250421_1134,0.8042,1.4019,10,1.75,500,250,20670,5168
2025-04-21 11:38:19,mca_20250421_1137,1.0872,1.3609,10,1.0,500,250,20670,5168
2025-04-21 11:43:07,mca_20250421_1142,1.0640,1.3485,10,1.0,500,150,20670,5168
2025-04-21 15:21:50,mca_20250421_1520,1.0640,1.3485,15,1.5,500,15,20670,5168
2025-04-21 15:28:11,mca_20250421_1527,1.0640,1.3485,15,1.5,500,15,20670,5168
2025-04-21 15:31:52,mca_20250421_1530,1.0640,1.3485,15,1.5,500,15,20670,5168
2025-04-21 17:18:14,mca_20250421_1717,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-21 17:42:06,mca_20250421_1741,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-21 17:49:56,mca_20250421_1749,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-23 23:36:00,mca_20250423_2335,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 00:10:46,mca_20250424_0009,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 09:37:42,mca_20250424_0936,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 09:41:44,mca_20250424_0940,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 09:58:51,mca_20250424_0957,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 10:14:43,mca_20250424_1013,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 12:29:37,mca_20250424_1228,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 14:20:30,mca_20250424_1418,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 22:33:07,mca_20250424_2231,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 22:43:28,mca_20250424_2241,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-24 22:48:22,mca_20250424_2247,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:05:13,mca_20250425_1504,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:07:41,mca_20250425_1506,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:10:55,mca_20250425_1510,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:12:09,mca_20250425_1511,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:17:42,mca_20250425_1516,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:25:42,mca_20250425_1525,1.2937,1.3487,100.0,1.0,500.0,150,20670,5168
2025-04-25 15:27:19,mca_20250425_1527,1.1913,1.3446,25.0,1.0,500.0,150,20670,5168
2025-04-25 15:38:00,mca_20250425_1537,6.7490,6.7633,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:40:58,mca_20250425_1540,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 15:50:59,mca_20250425_1550,1.0640,1.3485,10.0,1.0,500.0,150,20670,5168
2025-04-25 16:03:12,mca_20250425_1602,1.1913,1.3446,25.0,1.0,500.0,150,20670,5168
2025-04-25 16:07:17,mca_20250425_1607,1.1913,1.3446,25.0,1.0,500.0,150,20670,5168
2025-04-25 16:32:33,mca_20250425_1632,1.1868,1.3570,25.0,1.0,500.0,150,20680,5171
2025-04-25 16:37:46,mca_20250425_1637,1.1868,1.3570,25.0,1.0,500.0,150,20680,5171
2025-04-25 16:38:28,mca_20250425_1638,1.1868,1.3570,25.0,1.0,500.0,150,20680,5171
2025-04-25 16:54:43,mca_20250425_1654,1.1868,1.3570,25.0,1.0,500.0,150,20680,5171
2025-04-25 16:58:41,mca_20250425_1658,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:02:26,mca_20250425_1702,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:08:54,mca_20250425_1708,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:11:56,mca_20250425_1711,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:13:54,mca_20250425_1713,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:22:58,mca_20250425_1722,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:26:55,mca_20250425_1726,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:32:40,mca_20250425_1732,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:37:24,mca_20250425_1737,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
2025-04-25 17:49:25,mca_20250425_1749,1.1821,1.3683,25.0,1.0,500.0,150,20655,5164
